Address,Bedrooms,Bathrooms,Parking Spots,Study,Area in m²,Price
"520/2a Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,97,715000
"1205/1 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,-,600000
"2109/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,655000
"505/11 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,550000
"905/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,82,596000
"10806/2A Figtree Drive,Sydney Olympic Park NSW 2127",1,1,0,0,114,560000
"C2402/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,165,950000
"2211/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,815000
"1205/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,550000
"Level 20/1 Australia Ave,Sydney Olympic Park NSW 2127",2,1,1,1,92,710000
"605/11 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,525000
"2705/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,782500
"1203/1 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,550000
"1507/11 Australia Avenue,,Sydney Olympic Park NSW 2127",2,2,1,0,-,780000
"2506/7 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,1,211,1500000
"1406/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,86,850000
"650/1C Betty Cuthbert Ave,Sydney Olympic Park NSW 2127",1,1,1,1,95,720000
"708/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,590000
"413/2 Betty Cuthbert Avenue, Sydney Olympic Park",1,1,1,0,79,-
"305/11 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,478000
"2907/1 Australia Ave, Sydney Olympic Park",2,2,1,0,84,730000
"357/1 Betty Cuthbert Avenue, Sydney Olympic Park, NSW 2127",2,2,1,1,-,840000
"121/2a Betty Cuthbert Avenue, Sydney Olympic Park, NSW 2127",2,2,1,1,120,-
"1301/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,77,545000
"2805/3 Olympic Boulevard, Sydney Olympic Park",3,2,2,1,130,-
"1305/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,798000
"904/1 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,633000
"1205/1 Australia Avenue, Sydney Olympic Park",1,1,1,1,-,600000
"1406/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,645000
"2302/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,119,980000
"1105/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,568000
"2805/3 Olympic Boulevard, Sydney Olympic Park, NSW 2127",3,2,2,1,130,-
"103/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,688000
"309/7 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,1,-,565000
"7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,690000
"B806/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,112,800000
"2G/9 Paddock Street, Sydney Olympic Park",2,2,1,1,-,-
"604/1 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,-,600000
