Address,Bedrooms,Bathrooms,Parking Spots,Study,Area in m²,Price
"2509/1 Australia Avenue, Sydney Olympic Park",2,2,1,0,-,-
"807/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,718000
"2309/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,771000
"709/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,74,-
"2502/3 Olympic Boulevard,Sydney Olympic Park NSW 2127",1,1,1,0,-,540000
"35/2 FIGTREE DRIVE,Sydney Olympic Park NSW 2127",3,2,2,0,-,-
"2503/1 Australia Ave, Sydney Olympic Park, NSW 2127",1,1,1,1,-,610000
"2301/11 Australia Ave,Sydney Olympic Park NSW 2127",3,2,2,0,-,1250000
"709/1 Australia Avenue, Sydney Olympic Park",1,1,1,0,74,-
"2G/9 Paddock Street,Sydney Olympic Park NSW 2127",2,2,1,1,-,-
"1802/1 Brushbox St,Sydney Olympic Park NSW 2127",1,1,1,0,61,658000
"1406/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,740000
"2411/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,-
"207/9 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,-
"3701/3 Olympic Boulevard,Sydney Olympic Park NSW 2127",4,3,2,0,207,-
"2307/7 Australia Ave,Sydney Olympic Park NSW 2127",3,2,2,0,-,1240000
"51/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",3,2,2,1,-,970000
"Unit 1805/7 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,1,-,557000
"2202/11 Australia Avenue, Sydney Olympic Park",2,2,1,0,119,-
"2604/1 Brushbox Street,Sydney Olympic Park NSW 2127",2,2,1,1,-,-
"2211/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,1,-,645000
"03/3 Olympic Boulevard, Sydney Olympic Park",2,2,1,0,10,-
"1408/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,755000
"541/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,76,-
"20101/2B Figtree Drive,Sydney Olympic Park NSW 2127",2,2,1,1,-,900000
"130/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,610000
"2006/11 Australia Avenue,,Sydney Olympic Park NSW 2127",2,2,1,1,-,840000
"312/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,730000
"1102/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,0,-,538000
"905/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,518000
"1706/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,118,810000
"1802/1 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,1160000
"431/1A Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,115,-
"1802/1 Australia Ave,Sydney Olympic Park NSW 2127",3,2,2,0,120,1190000
"510/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,770000
"1302/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,122,746000
"801/7 Australia Avenue, Sydney Olympic Park NSW 2127",3,2,1,0,-,1300000
"2004/1 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,148,575000
"301/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,705000
"C2108/7 Australia Tower,Sydney Olympic Park NSW 2127",2,2,1,0,-,720000
